101	FISH1	100	30
102	FISH2	100	30
103	FISH3	100	30
104	FISH4	100	30
105	FISH5	255	50
106	FISH6	255	60
107	FISH7	255	70
108	FISH8	1780	80
109	FISH9	1780	90
110	FISH10	1780	100
111	FOOD1	50	110
112	FOOD2	50	120
113	FOOD3	50	130
114	FOOD4	20	140
115	FOOD5	20	150
116	FOOD6	20	160
203	Airpump	990	30
205	Med	990	30
207	Fert	990	30
209	Deco	990	30
211	Salt	1500	30
213	SaltT	1500	30
215	SaltT	1500	30
217	Salt	1500	30
219	SaltT	1500	30
221	Syphoon	125	30
223	Turtle	280	30
225	Worm	30	30
227	Betta	700	30
229	Tfilter	3900	30
231	Can601	5000	30
233	Can605	5000	30

